State,Date,Sex,Ethnicity,Population,Event_Type,Area
Johor,01/01/2022,Both,Overall,25305,Death,19210
Kedah,01/01/2022,Both,Overall,17628,Death,9500
Kelantan,01/01/2022,Both,Overall,13445,Death,15099
Melaka,01/01/2022,Both,Overall,6630,Death,1664
Negeri Sembilan,01/01/2022,Both,Overall,8636,Death,6686
Pahang,01/01/2022,Both,Overall,11022,Death,36137
Perak,01/01/2022,Both,Overall,22341,Death,21035
Perlis,01/01/2022,Both,Overall,2422,Death,821
Pulau Pinang,01/01/2022,Both,Overall,12920,Death,1048
Sabah,01/01/2022,Both,Overall,17395,Death,72631
Sarawak,01/01/2022,Both,Overall,16627,Death,124450
Selangor,01/01/2022,Both,Overall,32861,Death,8104
Terengganu,01/01/2022,Both,Overall,8686,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Overall,9962,Death,243
W.P. Labuan,01/01/2022,Both,Overall,392,Death,91
W.P. Putrajaya,01/01/2022,Both,Overall,253,Death,49
Johor,01/01/2022,Male,Overall,14618,Death,19210
Johor,01/01/2022,Female,Overall,10687,Death,19210
Kedah,01/01/2022,Male,Overall,9792,Death,9500
Kedah,01/01/2022,Female,Overall,7836,Death,9500
Kelantan,01/01/2022,Male,Overall,7411,Death,15099
Kelantan,01/01/2022,Female,Overall,6034,Death,15099
Melaka,01/01/2022,Male,Overall,3669,Death,1664
Melaka,01/01/2022,Female,Overall,2961,Death,1664
Negeri Sembilan,01/01/2022,Male,Overall,4959,Death,6686
Negeri Sembilan,01/01/2022,Female,Overall,3677,Death,6686
Pahang,01/01/2022,Male,Overall,6516,Death,36137
Pahang,01/01/2022,Female,Overall,4506,Death,36137
Perak,01/01/2022,Male,Overall,12641,Death,21035
Perak,01/01/2022,Female,Overall,9700,Death,21035
Perlis,01/01/2022,Male,Overall,1348,Death,821
Perlis,01/01/2022,Female,Overall,1074,Death,821
Pulau Pinang,01/01/2022,Male,Overall,7338,Death,1048
Pulau Pinang,01/01/2022,Female,Overall,5582,Death,1048
Sabah,01/01/2022,Male,Overall,10084,Death,72631
Sabah,01/01/2022,Female,Overall,7311,Death,72631
Sarawak,01/01/2022,Male,Overall,9566,Death,124450
Sarawak,01/01/2022,Female,Overall,7061,Death,124450
Selangor,01/01/2022,Male,Overall,19023,Death,8104
Selangor,01/01/2022,Female,Overall,13838,Death,8104
Terengganu,01/01/2022,Male,Overall,4762,Death,13035
Terengganu,01/01/2022,Female,Overall,3924,Death,13035
W.P. Kuala Lumpur,01/01/2022,Male,Overall,5706,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Overall,4256,Death,243
W.P. Labuan,01/01/2022,Male,Overall,218,Death,91
W.P. Labuan,01/01/2022,Female,Overall,174,Death,91
W.P. Putrajaya,01/01/2022,Male,Overall,139,Death,49
W.P. Putrajaya,01/01/2022,Female,Overall,114,Death,49
Johor,01/01/2022,Both,Bumi_Malay,14317,Death,19210
Kedah,01/01/2022,Both,Bumi_Malay,13747,Death,9500
Kelantan,01/01/2022,Both,Bumi_Malay,12602,Death,15099
Melaka,01/01/2022,Both,Bumi_Malay,4060,Death,1664
Negeri Sembilan,01/01/2022,Both,Bumi_Malay,4806,Death,6686
Pahang,01/01/2022,Both,Bumi_Malay,7872,Death,36137
Perak,01/01/2022,Both,Bumi_Malay,11327,Death,21035
Perlis,01/01/2022,Both,Bumi_Malay,2094,Death,821
Pulau Pinang,01/01/2022,Both,Bumi_Malay,4710,Death,1048
Sabah,01/01/2022,Both,Bumi_Malay,2381,Death,72631
Sarawak,01/01/2022,Both,Bumi_Malay,3325,Death,124450
Selangor,01/01/2022,Both,Bumi_Malay,15357,Death,8104
Terengganu,01/01/2022,Both,Bumi_Malay,8346,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Bumi_Malay,3304,Death,243
W.P. Labuan,01/01/2022,Both,Bumi_Malay,149,Death,91
W.P. Putrajaya,01/01/2022,Both,Bumi_Malay,230,Death,49
Johor,01/01/2022,Male,Bumi_Malay,8021,Death,19210
Johor,01/01/2022,Female,Bumi_Malay,6296,Death,19210
Kedah,01/01/2022,Male,Bumi_Malay,7531,Death,9500
Kedah,01/01/2022,Female,Bumi_Malay,6216,Death,9500
Kelantan,01/01/2022,Male,Bumi_Malay,6912,Death,15099
Kelantan,01/01/2022,Female,Bumi_Malay,5690,Death,15099
Melaka,01/01/2022,Male,Bumi_Malay,2201,Death,1664
Melaka,01/01/2022,Female,Bumi_Malay,1859,Death,1664
Negeri Sembilan,01/01/2022,Male,Bumi_Malay,2699,Death,6686
Negeri Sembilan,01/01/2022,Female,Bumi_Malay,2107,Death,6686
Pahang,01/01/2022,Male,Bumi_Malay,4632,Death,36137
Pahang,01/01/2022,Female,Bumi_Malay,3240,Death,36137
Perak,01/01/2022,Male,Bumi_Malay,6196,Death,21035
Perak,01/01/2022,Female,Bumi_Malay,5131,Death,21035
Perlis,01/01/2022,Male,Bumi_Malay,1156,Death,821
Perlis,01/01/2022,Female,Bumi_Malay,938,Death,821
Pulau Pinang,01/01/2022,Male,Bumi_Malay,2622,Death,1048
Pulau Pinang,01/01/2022,Female,Bumi_Malay,2088,Death,1048
Sabah,01/01/2022,Male,Bumi_Malay,1468,Death,72631
Sabah,01/01/2022,Female,Bumi_Malay,913,Death,72631
Sarawak,01/01/2022,Male,Bumi_Malay,1888,Death,124450
Sarawak,01/01/2022,Female,Bumi_Malay,1437,Death,124450
Selangor,01/01/2022,Male,Bumi_Malay,8847,Death,8104
Selangor,01/01/2022,Female,Bumi_Malay,6510,Death,8104
Terengganu,01/01/2022,Male,Bumi_Malay,4571,Death,13035
Terengganu,01/01/2022,Female,Bumi_Malay,3775,Death,13035
W.P. Kuala Lumpur,01/01/2022,Male,Bumi_Malay,1885,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Bumi_Malay,1419,Death,243
W.P. Labuan,01/01/2022,Male,Bumi_Malay,78,Death,91
W.P. Labuan,01/01/2022,Female,Bumi_Malay,71,Death,91
W.P. Putrajaya,01/01/2022,Male,Bumi_Malay,128,Death,49
W.P. Putrajaya,01/01/2022,Female,Bumi_Malay,102,Death,49
Johor,01/01/2022,Both,Bumi_Other,257,Death,19210
Kedah,01/01/2022,Both,Bumi_Other,17,Death,9500
Kelantan,01/01/2022,Both,Bumi_Other,120,Death,15099
Melaka,01/01/2022,Both,Bumi_Other,25,Death,1664
Negeri Sembilan,01/01/2022,Both,Bumi_Other,118,Death,6686
Pahang,01/01/2022,Both,Bumi_Other,533,Death,36137
Perak,01/01/2022,Both,Bumi_Other,420,Death,21035
Perlis,01/01/2022,Both,Bumi_Other,0,Death,821
Pulau Pinang,01/01/2022,Both,Bumi_Other,20,Death,1048
Sabah,01/01/2022,Both,Bumi_Other,11039,Death,72631
Sarawak,01/01/2022,Both,Bumi_Other,8858,Death,124450
Selangor,01/01/2022,Both,Bumi_Other,319,Death,8104
Terengganu,01/01/2022,Both,Bumi_Other,13,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Bumi_Other,50,Death,243
W.P. Labuan,01/01/2022,Both,Bumi_Other,122,Death,91
W.P. Putrajaya,01/01/2022,Both,Bumi_Other,3,Death,49
Johor,01/01/2022,Male,Bumi_Other,151,Death,19210
Johor,01/01/2022,Female,Bumi_Other,106,Death,19210
Kedah,01/01/2022,Male,Bumi_Other,9,Death,9500
Kedah,01/01/2022,Female,Bumi_Other,8,Death,9500
Kelantan,01/01/2022,Male,Bumi_Other,72,Death,15099
Kelantan,01/01/2022,Female,Bumi_Other,48,Death,15099
Melaka,01/01/2022,Male,Bumi_Other,16,Death,1664
Melaka,01/01/2022,Female,Bumi_Other,9,Death,1664
Negeri Sembilan,01/01/2022,Male,Bumi_Other,67,Death,6686
Negeri Sembilan,01/01/2022,Female,Bumi_Other,51,Death,6686
Pahang,01/01/2022,Male,Bumi_Other,303,Death,36137
Pahang,01/01/2022,Female,Bumi_Other,230,Death,36137
Perak,01/01/2022,Male,Bumi_Other,253,Death,21035
Perak,01/01/2022,Female,Bumi_Other,167,Death,21035
Perlis,01/01/2022,Male,Bumi_Other,0,Death,821
Perlis,01/01/2022,Female,Bumi_Other,0,Death,821
Pulau Pinang,01/01/2022,Male,Bumi_Other,10,Death,1048
Pulau Pinang,01/01/2022,Female,Bumi_Other,10,Death,1048
Sabah,01/01/2022,Male,Bumi_Other,6305,Death,72631
Sabah,01/01/2022,Female,Bumi_Other,4734,Death,72631
Sarawak,01/01/2022,Male,Bumi_Other,5026,Death,124450
Sarawak,01/01/2022,Female,Bumi_Other,3832,Death,124450
Selangor,01/01/2022,Male,Bumi_Other,196,Death,8104
Selangor,01/01/2022,Female,Bumi_Other,123,Death,8104
Terengganu,01/01/2022,Male,Bumi_Other,8,Death,13035
Terengganu,01/01/2022,Female,Bumi_Other,5,Death,13035
W.P. Kuala Lumpur,01/01/2022,Male,Bumi_Other,39,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Bumi_Other,11,Death,243
W.P. Labuan,01/01/2022,Male,Bumi_Other,63,Death,91
W.P. Labuan,01/01/2022,Female,Bumi_Other,59,Death,91
W.P. Putrajaya,01/01/2022,Male,Bumi_Other,0,Death,49
W.P. Putrajaya,01/01/2022,Female,Bumi_Other,3,Death,49
Johor,01/01/2022,Both,Chinese,8090,Death,19210
Kedah,01/01/2022,Both,Chinese,2309,Death,9500
Kelantan,01/01/2022,Both,Chinese,478,Death,15099
Melaka,01/01/2022,Both,Chinese,1913,Death,1664
Negeri Sembilan,01/01/2022,Both,Chinese,2183,Death,6686
Pahang,01/01/2022,Both,Chinese,1939,Death,36137
Perak,01/01/2022,Both,Chinese,7507,Death,21035
Perlis,01/01/2022,Both,Chinese,234,Death,821
Pulau Pinang,01/01/2022,Both,Chinese,6313,Death,1048
Sabah,01/01/2022,Both,Chinese,2665,Death,72631
Sarawak,01/01/2022,Both,Chinese,4301,Death,124450
Selangor,01/01/2022,Both,Chinese,10318,Death,8104
Terengganu,01/01/2022,Both,Chinese,241,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Chinese,4759,Death,243
W.P. Labuan,01/01/2022,Both,Chinese,79,Death,91
W.P. Putrajaya,01/01/2022,Both,Chinese,4,Death,49
Johor,01/01/2022,Male,Chinese,4800,Death,19210
Johor,01/01/2022,Female,Chinese,3290,Death,19210
Kedah,01/01/2022,Male,Chinese,1335,Death,9500
Kedah,01/01/2022,Female,Chinese,974,Death,9500
Kelantan,01/01/2022,Male,Chinese,295,Death,15099
Kelantan,01/01/2022,Female,Chinese,183,Death,15099
Melaka,01/01/2022,Male,Chinese,1072,Death,1664
Melaka,01/01/2022,Female,Chinese,841,Death,1664
Negeri Sembilan,01/01/2022,Male,Chinese,1282,Death,6686
Negeri Sembilan,01/01/2022,Female,Chinese,901,Death,6686
Pahang,01/01/2022,Male,Chinese,1167,Death,36137
Pahang,01/01/2022,Female,Chinese,772,Death,36137
Perak,01/01/2022,Male,Chinese,4310,Death,21035
Perak,01/01/2022,Female,Chinese,3197,Death,21035
Perlis,01/01/2022,Male,Chinese,142,Death,821
Perlis,01/01/2022,Female,Chinese,92,Death,821
Pulau Pinang,01/01/2022,Male,Chinese,3604,Death,1048
Pulau Pinang,01/01/2022,Female,Chinese,2709,Death,1048
Sabah,01/01/2022,Male,Chinese,1572,Death,72631
Sabah,01/01/2022,Female,Chinese,1093,Death,72631
Sarawak,01/01/2022,Male,Chinese,2569,Death,124450
Sarawak,01/01/2022,Female,Chinese,1732,Death,124450
Selangor,01/01/2022,Male,Chinese,5938,Death,8104
Selangor,01/01/2022,Female,Chinese,4380,Death,8104
Terengganu,01/01/2022,Male,Chinese,141,Death,13035
Terengganu,01/01/2022,Female,Chinese,100,Death,13035
W.P. Kuala Lumpur,01/01/2022,Male,Chinese,2677,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Chinese,2082,Death,243
W.P. Labuan,01/01/2022,Male,Chinese,51,Death,91
W.P. Labuan,01/01/2022,Female,Chinese,28,Death,91
W.P. Putrajaya,01/01/2022,Male,Chinese,1,Death,49
W.P. Putrajaya,01/01/2022,Female,Chinese,3,Death,49
Johor,01/01/2022,Both,Indian,1912,Death,19210
Kedah,01/01/2022,Both,Indian,1167,Death,9500
Kelantan,01/01/2022,Both,Indian,36,Death,15099
Melaka,01/01/2022,Both,Indian,503,Death,1664
Negeri Sembilan,01/01/2022,Both,Indian,1371,Death,6686
Pahang,01/01/2022,Both,Indian,465,Death,36137
Perak,01/01/2022,Both,Indian,2763,Death,21035
Perlis,01/01/2022,Both,Indian,30,Death,821
Pulau Pinang,01/01/2022,Both,Indian,1678,Death,1048
Sabah,01/01/2022,Both,Indian,49,Death,72631
Sarawak,01/01/2022,Both,Indian,39,Death,124450
Selangor,01/01/2022,Both,Indian,5517,Death,8104
Terengganu,01/01/2022,Both,Indian,21,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Indian,1370,Death,243
W.P. Labuan,01/01/2022,Both,Indian,5,Death,91
W.P. Putrajaya,01/01/2022,Both,Indian,9,Death,49
Johor,01/01/2022,Male,Indian,1160,Death,19210
Johor,01/01/2022,Female,Indian,752,Death,19210
Kedah,01/01/2022,Male,Indian,693,Death,9500
Kedah,01/01/2022,Female,Indian,474,Death,9500
Kelantan,01/01/2022,Male,Indian,22,Death,15099
Kelantan,01/01/2022,Female,Indian,14,Death,15099
Melaka,01/01/2022,Male,Indian,299,Death,1664
Melaka,01/01/2022,Female,Indian,204,Death,1664
Negeri Sembilan,01/01/2022,Male,Indian,820,Death,6686
Negeri Sembilan,01/01/2022,Female,Indian,551,Death,6686
Pahang,01/01/2022,Male,Indian,277,Death,36137
Pahang,01/01/2022,Female,Indian,188,Death,36137
Perak,01/01/2022,Male,Indian,1714,Death,21035
Perak,01/01/2022,Female,Indian,1049,Death,21035
Perlis,01/01/2022,Male,Indian,18,Death,821
Perlis,01/01/2022,Female,Indian,12,Death,821
Pulau Pinang,01/01/2022,Male,Indian,1014,Death,1048
Pulau Pinang,01/01/2022,Female,Indian,664,Death,1048
Sabah,01/01/2022,Male,Indian,30,Death,72631
Sabah,01/01/2022,Female,Indian,19,Death,72631
Sarawak,01/01/2022,Male,Indian,24,Death,124450
Sarawak,01/01/2022,Female,Indian,15,Death,124450
Selangor,01/01/2022,Male,Indian,3262,Death,8104
Selangor,01/01/2022,Female,Indian,2255,Death,8104
Terengganu,01/01/2022,Male,Indian,10,Death,13035
Terengganu,01/01/2022,Female,Indian,11,Death,13035
W.P. Kuala Lumpur,01/01/2022,Male,Indian,828,Death,243
W.P. Kuala Lumpur,01/01/2022,Female,Indian,542,Death,243
W.P. Labuan,01/01/2022,Male,Indian,3,Death,91
W.P. Labuan,01/01/2022,Female,Indian,2,Death,91
W.P. Putrajaya,01/01/2022,Male,Indian,4,Death,49
W.P. Putrajaya,01/01/2022,Female,Indian,5,Death,49
Johor,01/01/2022,Both,Overall,48254,Birth,19210
Kedah,01/01/2022,Both,Overall,30796,Birth,9500
Kelantan,01/01/2022,Both,Overall,33808,Birth,15099
Melaka,01/01/2022,Both,Overall,13105,Birth,1664
Negeri Sembilan,01/01/2022,Both,Overall,15991,Birth,6686
Pahang,01/01/2022,Both,Overall,23568,Birth,36137
Perak,01/01/2022,Both,Overall,29543,Birth,21035
Perlis,01/01/2022,Both,Overall,3746,Birth,821
