State,Date,Sex,Ethnicity,Population,EventType,Area
Johor,01/01/2022,Both,Overall,25305,Death,19210
Kedah,01/01/2022,Both,Overall,17628,Death,9500
Kelantan,01/01/2022,Both,Overall,13445,Death,15099
Melaka,01/01/2022,Both,Overall,6630,Death,1664
Negeri Sembilan,01/01/2022,Both,Overall,8636,Death,6686
Pahang,01/01/2022,Both,Overall,11022,Death,36137
Perak,01/01/2022,Both,Overall,22341,Death,21035
Perlis,01/01/2022,Both,Overall,2422,Death,821
Pulau Pinang,01/01/2022,Both,Overall,12920,Death,1048
Sabah,01/01/2022,Both,Overall,17395,Death,72631
Sarawak,01/01/2022,Both,Overall,16627,Death,124450
Selangor,01/01/2022,Both,Overall,32861,Death,8104
Terengganu,01/01/2022,Both,Overall,8686,Death,13035
W.P. Kuala Lumpur,01/01/2022,Both,Overall,9962,Death,243
W.P. Labuan,01/01/2022,Both,Overall,392,Death,91
W.P. Putrajaya,01/01/2022,Both,Overall,253,Death,49
Johor,01/01/2022,Both,Overall,48254,Birth,19210
Kedah,01/01/2022,Both,Overall,30796,Birth,9500
Kelantan,01/01/2022,Both,Overall,33808,Birth,15099
Melaka,01/01/2022,Both,Overall,13105,Birth,1664
Negeri Sembilan,01/01/2022,Both,Overall,15991,Birth,6686
Pahang,01/01/2022,Both,Overall,23568,Birth,36137
Perak,01/01/2022,Both,Overall,29543,Birth,21035
Perlis,01/01/2022,Both,Overall,3746,Birth,821
Pulau Pinang,01/01/2022,Both,Overall,17731,Birth,1048
Sabah,01/01/2022,Both,Overall,43617,Birth,72631
Sarawak,01/01/2022,Both,Overall,30937,Birth,124450
Selangor,01/01/2022,Both,Overall,83658,Birth,8104
Terengganu,01/01/2022,Both,Overall,25304,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Both,Overall,19853,Birth,243
W.P. Labuan,01/01/2022,Both,Overall,1374,Birth,91
W.P. Putrajaya,01/01/2022,Both,Overall,1839,Birth,49